SystemID,Send Date,Content Name,Testing,Source,Card ID,Tier,Status,EDM_Sent,EDM_Bounce,EDM_Open,EDM_Click,APP_Open
JH-0001831008,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB9613135,DYNA,Sent,1,0,0,0,0
JH-0001831009,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD2649745,DYNA,Open,1,0,1,0,0
JH-0001831010,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CK0596542,GOLD,Sent,1,0,0,0,0
JH-0001831011,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WA7187321,DYNA,Sent,1,0,0,0,0
JH-0001831012,2021-11-18T06:41:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT1993342,EMER,Click,1,0,1,1,0
JH-0001831128,2021-11-18T09:00:43.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WB2680323,DYNA,Delivered,0,0,0,0,0
JH-0001598368,2021-10-16T09:21:12.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WD1079954,DYNA,Delivered,0,0,0,0,0
JH-0001830953,2021-11-18T00:47:20.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,WE6813101,DYNA,Open,1,0,1,0,0
JH-0001830976,2021-11-18T01:16:58.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,WA3583045,DYNA,Sent,1,0,0,0,0
JH-0001830977,2021-11-18T01:16:58.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,SH0110586,EMER,Click,1,0,1,1,0
JH-0001830978,2021-11-18T01:16:58.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,WF1787490,GOLD,Sent,1,0,0,0,0
JH-0001831173,2021-11-19T02:45:34.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WA6019716,DYNA,Success,0,0,0,0,0
JH-0001831193,2021-11-19T04:30:45.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,WE0460956,DYNA,Sent,1,0,0,0,0
JH-0001831202,2021-11-19T11:50:35.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,CT3573810,DYNA,Undelivered,0,0,0,0,0
JH-0001831203,2021-11-19T11:50:35.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WD2827247,GOLD,Delivered,0,0,0,0,0
JH-0001830543,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB7866303,DYNA,Open,1,0,1,0,0
JH-0001830544,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT4990151,GOLD,Sent,1,0,0,0,0
JH-0001830545,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB0144854,DYNA,Open,1,0,1,0,0
JH-0001830546,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0245463,PARA,Bounce,0,1,0,0,0
JH-0001830547,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CK0984205,DYNA,Open,1,0,1,0,0
JH-0001830548,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD4462503,DYNA,Open,1,0,1,0,0
JH-0001830549,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD0279966,DYNA,Sent,1,0,0,0,0
JH-0001830550,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF1803431,DYNA,Sent,1,0,0,0,0
JH-0001830551,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,AL0410286,DYNA,Sent,1,0,0,0,0
JH-0001830552,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0246767,PARA,,0,0,0,0,0
JH-0001830553,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB6957011,GOLD,Open,1,0,1,0,0
JH-0001830554,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD9254542,GOLD,Click,1,0,1,1,0
JH-0001830555,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0294445,EMER,Open,1,0,1,0,0
JH-0001830556,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,AL0048115,GOLD,Sent,1,0,0,0,0
JH-0001830557,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WA5953454,EMER,Sent,1,0,0,0,0
JH-0001830558,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,AL0683730,DYNA,Click,1,0,1,1,0
JH-0001830559,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WE6096003,DYNA,Open,1,0,1,0,0
JH-0001830560,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WE7103575,DYNA,Sent,1,0,0,0,0
JH-0001830561,2021-11-15T06:45:25.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,AL0275850,DYNA,Click,1,0,1,1,0
JH-0001830487,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CK1098966,GOLD,Sent,1,0,0,0,0
JH-0001830488,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WA6302913,DYNA,Click,1,0,1,1,0
JH-0001830489,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0756011,PARA,Sent,1,0,0,0,0
JH-0001830490,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD0379686,GOLD,Open,1,0,1,0,0
JH-0001830491,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,SB0040487,EMER,Sent,1,0,0,0,0
JH-0001830492,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD0552780,DYNA,Sent,1,0,0,0,0
JH-0001830493,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WE8234842,DYNA,Sent,1,0,0,0,0
JH-0001830494,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB3289217,DYNA,Click,1,0,1,1,0
JH-0001830495,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT3280983,EMER,Open,1,0,1,0,0
